360X,700X,360Y,700Y
0,0,0,0
3.75,7,0.065403129,46
7.5,15,0.130526192,91
11.25,22,0.195090322,137
15,29,0.258819045,181
18.75,36,0.321439465,225
22.5,44,0.382683432,268
26.25,51,0.44228869,310
30,58,0.5,350
33.75,66,0.555570233,389
37.5,73,0.608761429,426
41.25,80,0.659345815,462
45,88,0.707106781,495
48.75,95,0.751839807,526
52.5,102,0.79335334,555
56.25,109,0.831469612,582
60,117,0.866025404,606
63.75,124,0.896872742,628
67.5,131,0.923879533,647
71.25,139,0.946930129,663
75,146,0.965925826,676
78.75,153,0.98078528,687
82.5,160,0.991444861,694
86.25,168,0.997858923,699
90,175,1,700
93.75,182,0.997858923,699
97.5,190,0.991444861,694
101.25,197,0.98078528,687
105,204,0.965925826,676
108.75,211,0.946930129,663
112.5,219,0.923879533,647
116.25,226,0.896872742,628
120,233,0.866025404,606
123.75,241,0.831469612,582
127.5,248,0.79335334,555
131.25,255,0.751839807,526
135,263,0.707106781,495
138.75,270,0.659345815,462
142.5,277,0.608761429,426
146.25,284,0.555570233,389
150,292,0.5,350
153.75,299,0.44228869,310
157.5,306,0.382683432,268
161.25,314,0.321439465,225
165,321,0.258819045,181
168.75,328,0.195090322,137
172.5,335,0.130526192,91
176.25,343,0.065403129,46
180,350,1.22465E-16,0
183.75,357,-0.065403129,-46
187.5,365,-0.130526192,-91
191.25,372,-0.195090322,-137
195,379,-0.258819045,-181
198.75,386,-0.321439465,-225
202.5,394,-0.382683432,-268
206.25,401,-0.44228869,-310
210,408,-0.5,-350
213.75,416,-0.555570233,-389
217.5,423,-0.608761429,-426
221.25,430,-0.659345815,-462
225,438,-0.707106781,-495
228.75,445,-0.751839807,-526
232.5,452,-0.79335334,-555
236.25,459,-0.831469612,-582
240,467,-0.866025404,-606
243.75,474,-0.896872742,-628
247.5,481,-0.923879533,-647
251.25,489,-0.946930129,-663
255,496,-0.965925826,-676
258.75,503,-0.98078528,-687
262.5,510,-0.991444861,-694
266.25,518,-0.997858923,-699
270,525,-1,-700
273.75,532,-0.997858923,-699
277.5,540,-0.991444861,-694
281.25,547,-0.98078528,-687
285,554,-0.965925826,-676
288.75,561,-0.946930129,-663
292.5,569,-0.923879533,-647
296.25,576,-0.896872742,-628
300,583,-0.866025404,-606
303.75,591,-0.831469612,-582
307.5,598,-0.79335334,-555
311.25,605,-0.751839807,-526
315,613,-0.707106781,-495
318.75,620,-0.659345815,-462
322.5,627,-0.608761429,-426
326.25,634,-0.555570233,-389
330,642,-0.5,-350
333.75,649,-0.44228869,-310
337.5,656,-0.382683432,-268
341.25,664,-0.321439465,-225
345,671,-0.258819045,-181
348.75,678,-0.195090322,-137
352.5,685,-0.130526192,-91
356.25,693,-0.065403129,-46
360,700,-2.44929E-16,0
